repo_url,commit_sha,commit_message,llm_model,llm_classification,llm_reason
https://github.com/square/okhttp.git,85796896c3042935a98500e4d41b0f3ca49523e7,"Don't force a response body read on all trailers (#8904)

We only need to read the response body if its coming
from a real server.

Closes: https://github.com/square/okhttp/issues/8902

Co-authored-by: Jesse Wilson <jwilson@squareup.com>",mistral:latest,None,"The commit addresses a functional issue by modifying the behavior of reading response trailers only when the response body comes from a real server. This change does not seem to introduce any energy, concurrency, storage bloat, security vulnerability, or high complexity debt."
https://github.com/square/okhttp.git,db836de3002f1c518d6f38a8c4f112c464cbcbc9,"Fix a liveness bug in MockWebServer (#8858)

* Fix a liveness bug in MockWebServer

It was possible to configure delays that would be honored
after MockWebServer was shut down. With this fix any
delay will be abandoned once the server is closed.

* Update mockwebserver/src/main/kotlin/mockwebserver3/internal/SleepNanos.kt

Co-authored-by: Jake Wharton <jw@squareup.com>

---------

Co-authored-by: Jesse Wilson <jwilson@squareup.com>
Co-authored-by: Jake Wharton <jw@squareup.com>",mistral:latest,None,"The commit changes the function used to sleep from 'sleepWhileOpen' to 'sleepNanos'. However, both functions seem to serve the same purpose of delaying execution. The original 'sleepWhileOpen' function checks if the socket is closed before the specified time elapses and throws an exception if it is. The new 'sleepNanos' function simply sleeps for a given number of nanoseconds without checking the socket status. Since neither function introduces any code smells, this commit does not fall under any of the provided categories."
https://github.com/square/okhttp.git,71a759f77e7dc31939954b5eeb70065f29ee59ad,"Move gzip() from RequestBody to Request.Builder (#8838)

On Request.Builder the one function can add the header
and apply compression. Otherwise the caller needs to
keep those calls in sync.

One severe drawback of this approach is the calls to
Request.Builder are now ordered. If you call gzip()
before you call post(), it'll crash. Worse, if you
call post() and then gzip() and then post() again
with a different body, it'll silently not compress
the new body. I don't love this drawback but I think
the mitigations aren't worth the effort.",mistral:latest,None,"The commit moves the gzip() function from RequestBody to Request.Builder, which improves code organization by allowing compression to be handled within the request builder itself. The caller no longer needs to keep calls in sync. However, this change does not introduce any energy smells, concurrency smells, storage bloat smells, security vulnerabilities, or high complexity debt."
https://github.com/square/okhttp.git,7abfffb5d6b95c422b3eb0d17daa6a9ad482ba2d,"fix immutableListOf array (#8816)

* fix immutableListOf array

* singleton optimization

* Update -UtilJvm.kt",mistral:latest,HighComplexityDebt,"The commit optimizes the singleton optimization of immutableListOf array by using Kotlin's reified type parameter instead of casting, reducing the complexity and potential for errors in the code."
https://github.com/square/okhttp.git,599d0382292ee438182ef6135e921c487bee598a,"Promote TrailersSource to our public API (#8833)

Co-authored-by: Jesse Wilson <jwilson@squareup.com>",mistral:latest,HighComplexityDebt,"The commit introduces a new interface TrailersSource, which simplifies the code structure by providing a single point of access to trailers. This refactoring reduces technical debt and improves code maintainability."
https://github.com/android/architecture-samples.git,d7ba290d1f33205d5890bb221ad1ac883ebd4c80,"Minor tidy ups (#935)

* Add suspend to upsertAll

* withContext only wraps mapping functions

* Remove main coroutine rule from TaskDaoTest

* Rename tasksRepository to taskRepository

* Replace MainCoroutineRule with testScope and testDispatcher

* Fix spotless

* All tests run with testScope.runTest

* Add mutex to TaskNetworkDataSource

* Fix spotless

* Recreate database before each test",mistral:latest,ConcurrencySmell,"The commit introduces changes to the MainCoroutineRule, testScope, and testDispatcher, which are related to managing coroutines in testing. This indicates a focus on concurrency and thread-safety, potentially addressing issues such as race conditions or incorrect use of coroutine scopes/dispatchers."
https://github.com/android/architecture-samples.git,0c314163466ba9ab566af3f7dbf3b8dffd3e8f12,"Simplify the network data source (#915)

* Simplify the network data source API

* Move complex operations to Dispatchers.Default

* Change method names for saving and loading data from network

* Remove withContext from Room provided methods

* Move private functions below public overridden ones

* Update comments for methods which send data to/from network",mistral:latest,ConcurrencySmell,"The commit simplifies the network data source by moving complex operations to Dispatchers.Default, removing withContext from Room provided methods, and using coroutineScope instead of withContext. These changes help avoid blocking the calling thread and improve concurrency management."
https://github.com/android/architecture-samples.git,42d65a668fafb4f6754c90e07c0dc2f58feeb388,"Refactor tests to use assertEquals (#913)

* Refactor tests to use assertEquals

* Remove Hamcrest",mistral:latest,None,"The commit refactors tests to use assertEquals instead of Hamcrest, which does not directly address any code smells from the provided categories. The changes improve test readability but do not optimize energy consumption, concurrency, storage, security, or technical debt."
https://github.com/android/architecture-samples.git,f01fcad4193091f41352e8575d10f7718f61240e,"Add data models, refactor local and network data sources (#908)

* Adding TaskEntity (first pass)

* Add mapping function, rename TaskDataSource to NetworkDataSource

* Move Task creation inside TaskRepository

* More tidy ups, rename TaskEntity to LocalTask

* Mapping functions return expressions and use method references

* Fix spotless

* Rename mapping functions from 'asSomething' to 'toSomething'

* Fix spotless",mistral:latest,None,"The commit focuses on refactoring the data models, renaming variables, moving functions, and improving code structure. There are no obvious signs of energy consumption issues, concurrency problems, storage optimizations, security vulnerabilities, or high complexity debt."
https://github.com/android/architecture-samples.git,17da41e50e9fc9e005abf3164eeef2cec05afea6,"Remove withContext, refactor duplicate methods (#907)

",mistral:latest,HighComplexityDebt,"The commit removes the withContext call, refactors duplicate methods, and adds a new method getTaskWithId. These changes simplify the code structure by eliminating duplicate code and improving variable types, reducing technical debt."
