repo_url,commit_sha,commit_message,llm_model,llm_classification,llm_reason
https://github.com/square/okhttp.git,85796896c3042935a98500e4d41b0f3ca49523e7,"Don't force a response body read on all trailers (#8904)

We only need to read the response body if its coming
from a real server.

Closes: https://github.com/square/okhttp/issues/8902

Co-authored-by: Jesse Wilson <jwilson@squareup.com>",codellama:7b,None,"The commit message only describes a change to the response body, but does not include any code smells related to trailers. The diff only shows changes to the response body and does not include any new imports or modifications to the trailer-related methods."
https://github.com/square/okhttp.git,db836de3002f1c518d6f38a8c4f112c464cbcbc9,"Fix a liveness bug in MockWebServer (#8858)

* Fix a liveness bug in MockWebServer

It was possible to configure delays that would be honored
after MockWebServer was shut down. With this fix any
delay will be abandoned once the server is closed.

* Update mockwebserver/src/main/kotlin/mockwebserver3/internal/SleepNanos.kt

Co-authored-by: Jake Wharton <jw@squareup.com>

---------

Co-authored-by: Jesse Wilson <jwilson@squareup.com>
Co-authored-by: Jake Wharton <jw@squareup.com>",codellama:7b,None,"The commit message does not contain any code smells related to the Kotlin ecosystem for Android. The changes made are related to fixing a liveness bug in MockWebServer, which is an internal class used by OkHttp for testing purposes."
https://github.com/square/okhttp.git,71a759f77e7dc31939954b5eeb70065f29ee59ad,"Move gzip() from RequestBody to Request.Builder (#8838)

On Request.Builder the one function can add the header
and apply compression. Otherwise the caller needs to
keep those calls in sync.

One severe drawback of this approach is the calls to
Request.Builder are now ordered. If you call gzip()
before you call post(), it'll crash. Worse, if you
call post() and then gzip() and then post() again
with a different body, it'll silently not compress
the new body. I don't love this drawback but I think
the mitigations aren't worth the effort.",codellama:7b,None,"The commit message does not contain any code smells, and the diff only includes changes related to adding a new header and changing the order of calls."
https://github.com/square/okhttp.git,7abfffb5d6b95c422b3eb0d17daa6a9ad482ba2d,"fix immutableListOf array (#8816)

* fix immutableListOf array

* singleton optimization

* Update -UtilJvm.kt",codellama:7b,HighComplexityDebt,"The changes in this commit appear to be related to refactoring the code to reduce technical debt and improve code structure, specifically removing long methods and eliminating duplicate code."
https://github.com/square/okhttp.git,599d0382292ee438182ef6135e921c487bee598a,"Promote TrailersSource to our public API (#8833)

Co-authored-by: Jesse Wilson <jwilson@squareup.com>",codellama:7b,None,There is no code smell in this commit.
https://github.com/android/architecture-samples.git,d7ba290d1f33205d5890bb221ad1ac883ebd4c80,"Minor tidy ups (#935)

* Add suspend to upsertAll

* withContext only wraps mapping functions

* Remove main coroutine rule from TaskDaoTest

* Rename tasksRepository to taskRepository

* Replace MainCoroutineRule with testScope and testDispatcher

* Fix spotless

* All tests run with testScope.runTest

* Add mutex to TaskNetworkDataSource

* Fix spotless

* Recreate database before each test",codellama:7b,None,"The commit message only includes minor tidy-ups, such as renaming a variable and adding a mutex to a data source. There is no evidence of any code smells in the diff."
https://github.com/android/architecture-samples.git,0c314163466ba9ab566af3f7dbf3b8dffd3e8f12,"Simplify the network data source (#915)

* Simplify the network data source API

* Move complex operations to Dispatchers.Default

* Change method names for saving and loading data from network

* Remove withContext from Room provided methods

* Move private functions below public overridden ones

* Update comments for methods which send data to/from network",codellama:7b,None,"The changes made in this commit do not correspond to any code smells from the categories you provided. The commit message states that the developer is simplifying the network data source, but the diff only shows changes related to renaming methods and moving private functions below public overridden ones."
https://github.com/android/architecture-samples.git,42d65a668fafb4f6754c90e07c0dc2f58feeb388,"Refactor tests to use assertEquals (#913)

* Refactor tests to use assertEquals

* Remove Hamcrest",codellama:7b,HighComplexityDebt,"The commit message 'Refactor tests to use assertEquals' does not contain any code smells, but the diff shows that the developer is refactoring the test code to use a different assertion method. This is a valid reason for classifying this commit as HighComplexityDebt."
https://github.com/android/architecture-samples.git,f01fcad4193091f41352e8575d10f7718f61240e,"Add data models, refactor local and network data sources (#908)

* Adding TaskEntity (first pass)

* Add mapping function, rename TaskDataSource to NetworkDataSource

* Move Task creation inside TaskRepository

* More tidy ups, rename TaskEntity to LocalTask

* Mapping functions return expressions and use method references

* Fix spotless

* Rename mapping functions from 'asSomething' to 'toSomething'

* Fix spotless",codellama:7b,None,"There is no code smell in this commit, as it only includes changes related to adding data models, refactoring local and network data sources, and fixing spotless. The diff only shows minor changes such as renaming variables and methods, which do not affect the overall quality of the code."
https://github.com/android/architecture-samples.git,17da41e50e9fc9e005abf3164eeef2cec05afea6,"Remove withContext, refactor duplicate methods (#907)

",codellama:7b,None,"The commit message only mentions refactoring duplicate methods, which is a valid reason for a code change without any code smells."
https://github.com/2dust/v2rayNG.git,3f778a1ea239d2f6780acab734776ffe76cd242d,"Optimize the source of tls sni
",codellama:7b,StorageBloatSmell,"The commit message 'Optimize the source of tls sni' suggests that the developer is trying to optimize the storage usage by removing redundant assets or resources, optimizing image size, clearing the cache, reducing disk writes."
https://github.com/2dust/v2rayNG.git,4fcb3f9d069ff9ca0edcc9e296df393499ce38de,"Refactor ConfigResult
",codellama:7b,None,"The changes made in this commit do not correspond to any code smells from the categories you provided. The only change is a rename of a variable, which does not affect the functionality of the code."
https://github.com/2dust/v2rayNG.git,5bf7c98cd313fff0ab863bbe9c6b4fb57256f610,"Refactor outbound related code
",codellama:7b,None,"The changes made in this commit do not correspond to any code smells from the categories you provided. The only change is a refactoring of outbound related code, which does not involve any optimization or fix for a specific issue."
https://github.com/2dust/v2rayNG.git,46bc1a49dfbdda81c6f008334c1cdb6a09a02c73,"Refactor reference code with libv2ray remove protect
",codellama:7b,None,"The commit message does not contain any code smells, and the diff only includes minor changes such as renaming variables and removing unnecessary comments."
https://github.com/2dust/v2rayNG.git,e1def0616a4f9c8fb91cc7d43da172276454e7e8,"Refactor the Outbound transport and tls in the configuration file
",codellama:7b,None,"The changes made in this commit are related to refactoring the Outbound transport and tls in the configuration file, but do not appear to address any code smells from the specified categories."
https://github.com/shadowsocks/shadowsocks-android.git,a7a852affb5ecb99d1195c5728f41a6e6c2e9c0a,"Simplify build instructions in README
",codellama:7b,None,No changes to Kotlin code were detected in the diff.
https://github.com/shadowsocks/shadowsocks-android.git,d17873966b96ddf239aea5ef8cea541494d519e0,"Remove STORAGE permission on Android 10+
",codellama:7b,None,No changes to Kotlin code were detected in the diff.
https://github.com/shadowsocks/shadowsocks-android.git,31cbe581ec94a199539aa2bdd0feb8e63253094e,"Mark underlyingNetwork as volatile

Attempts at addressing #2667.
",codellama:7b,None,The changes made to the code do not correspond to any of the identified code smells.
https://github.com/shadowsocks/shadowsocks-android.git,74e6766c63ae6ef672036469c66475e692040d6e,"Use Parcelize for TrafficStats
",codellama:7b,HighComplexityDebt,The changes made to the TrafficStats class are related to refactoring to reduce technical debt and improve code structure. The removal of the @Parcelize annotation and the addition of a Parcelable implementation are both examples of this type of refactoring.
https://github.com/shadowsocks/shadowsocks-android.git,60c8449a7f69adf5838346575852edb43b034503,Simplify,codellama:7b,HighComplexityDebt,"The changes in the diff file include simplifying code by removing long methods, eliminating duplicate code, simplifying complex conditions, and improving variable names. This is a refactoring to reduce technical debt and improve code structure."
https://github.com/square/leakcanary.git,316e0c8f67e9766feef82a8be8f890b9da9105bf,"Merge pull request #2684 from square/py/storage_not_deletion

rename HeapDumpDeletionStrategy to HeapDumpStorageStrategy",codellama:7b,None,"The changes made in this commit do not correspond to any code smells from the categories you provided. The only change is a rename of a variable, which does not affect the functionality of the code."
https://github.com/square/leakcanary.git,cbc1b032bc33db08ba841c606cf9864b2935d560,"rename HeapDumpDeletionStrategy to HeapDumpStorageStrategy
",codellama:7b,None,"The commit message only renames a variable, which does not correspond to any code smells from the categories you provided."
https://github.com/square/leakcanary.git,1c2eba286e195a467ac2c52bef4fb1f76623b9a2,"Small escape optimization
",codellama:7b,HighComplexityDebt,"The commit message 'Small escape optimization' does not provide enough information to determine whether it is related to a code smell. The diff only shows changes in the code, but it does not indicate any specific issue or problem that needs to be addressed."
https://github.com/square/leakcanary.git,0099954de72a852242e8bfd30b0f4022eac5b881,"Cleanup LiveObjectGrowthDetectorTest and move to leakcanary-jvm-test module
",codellama:7b,None,"The commit message does not contain any code smells related to the Kotlin ecosystem for Android. The diff only contains changes related to testing, such as adding a new test class and updating dependencies."
https://github.com/square/leakcanary.git,96eaf221b6130aeae634bd6c4c1609c22f986822,"Refactor tests
",codellama:7b,HighComplexityDebt,"The commit message 'Refactor tests' suggests that the developer is refactoring the code to reduce technical debt, which is a valid reason for classifying this commit as HighComplexityDebt."
https://github.com/gkd-kit/gkd.git,95ce6b5153df7ea89f374b8f428fee580c2e0054,"perf: update libs and proguard-rules.pro
",codellama:7b,None,No matching files changed in diff for extensions: .kt
https://github.com/gkd-kit/gkd.git,70704fc3363bd92d6bf87af9a4b865509d330948,"perf: proguard rule
",codellama:7b,None,No changes to Kotlin files detected in the diff.
https://github.com/gkd-kit/gkd.git,c8c5811366d77a80de4e5e9045aeb11773b0052c,"refactor: about page
",codellama:7b,None,"The changes made in this commit do not correspond to any code smells from the categories you provided. The only change is adding an import statement for a new utility class, which does not seem to be related to any specific code smell."
https://github.com/gkd-kit/gkd.git,b60b76e996aa6e48f12c9e7bc6ae642deb27a520,"perf: Synchronized updateTopActivity
",codellama:7b,None,The changes made in this commit do not correspond to any code smells from the categories you provided.
https://github.com/gkd-kit/gkd.git,5e1911c033216c4bfb544dafe1a461471d566ca0,"perf: rm quickFind, type error message, synchronized update rules
",codellama:7b,None,"The changes made in this commit do not correspond to any code smells from the categories you provided. The only change is adding a new field 'quickFind' to the data class 'GkdAction', which is a valid and necessary addition."
https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git,d8604d19c86d8e4dd70510c7242391e95f5c3fa0,"refactor(ItemClickUtils): 整理代码
",codellama:7b,HighComplexityDebt,"The commit message indicates that the developer is refactoring to reduce technical debt, which suggests that the changes are related to improving code structure and reducing complexity."
https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git,99df566bf923c7ef5811307c75966bc12bf2889b,"refactor(app): 整理demo
",codellama:7b,HighComplexityDebt,"The commit message indicates that the developer is refactoring the code to reduce technical debt, which suggests that there are complex methods or conditions in the code that can be simplified."
https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git,5c8c2c4b2e5dccaa6012a40f72e7e4ab316c12f7,"Merge branch 'v4_dev'

# Conflicts:
#	app/build.gradle
#	app/src/main/AndroidManifest.xml
#	build.gradle
#	gradle.properties
#	gradle/wrapper/gradle-wrapper.properties
#	library/build.gradle
#	library/proguard-rules.pro
#	library/src/main/java/com/chad/library/adapter/base/BaseBinderAdapter.kt
#	library/src/main/java/com/chad/library/adapter/base/diff/BrvahAsyncDifferConfig.kt
",codellama:7b,None,"There are no code smells in this commit based on the provided diff. The changes made to the code are related to updating the package name, adding a new class, and modifying some comments."
https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git,4fb2ef538765b7d8e44781c1750bad9a7284cb7c,"refactor: update gradle
",codellama:7b,None,"No matching files changed in diff for extensions: .kt, therefore this commit does not contain any code smells related to Kotlin."
https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git,78eb19afa22397b0ce5f7c37cf2e441ac6c0a733,"#fix:
- proguard
- setNewData value use ""===""
",codellama:7b,None,The changes made to the code do not correspond to any of the identified code smells.
https://github.com/android/compose-samples.git,6ef097446f41ddda3c9d60516fecd7516d522e40,"Fix spotless configuration and apply to all samples except Jetcaster (#1563)

Jetcaster is refactored in #1561, so the same config will be applied
there, but I won't format it here, because it would create a million
conflicts.",codellama:7b,None,The changes made in this commit are related to formatting and do not affect the functionality of the code.
https://github.com/android/compose-samples.git,a83eb8e23a48db5fb801e07b09b8f94601181b06,"small refactor
",codellama:7b,HighComplexityDebt,"The commit message 'small refactor' does not provide enough information to determine the nature of the changes made. The diff only shows a few lines of code, and it is unclear whether the changes are related to fixing code smells or other types of changes."
https://github.com/android/compose-samples.git,0d4887e2dee01c794a24bc3c1977317c6859ab9b,"Move Spotless configurations from buildscripts/init.gradle.kts to build.gradle.kts (#1549)

Decouple each project from
`buildscripts/init.gradle.kts`

Each project currently uses Spotless with `--init-script
buildscripts/init.gradle.kts`. The team decided not to configure
Spotless in `build.gradle.kts` because Spotless did not yet support
Gradle Configuration Cache, which would significantly impact build
performance. That means that these projects cannot use the typical
Gradle command `./gradlew spotlessCheck`. The flag `--init-script
buildscripts/init.gradle.kts` is currently used in this GitHub Actions
configuration that is shared by all 6 projects with `uses:
./.github/workflows/build-sample.yml`.


https://github.com/android/compose-samples/blob/57913c513a17c39a93d9a5bab4284fbf9c85dc98/.github/workflows/build-sample.yml#L62-L62

Spotless [version 7.0.0 supports configuration
cache](https://github.com/diffplug/spotless/blob/main/plugin-gradle/CHANGES.md#700---2025-01-06).
From the release notes: ""Full, no asterisk support for configuration
cache (end of https://github.com/diffplug/spotless/issues/987)""

As a first step, we can move the Spotless configuration from
`buildscripts/init.gradle.kts` to `build.gradle.kts`. This has the
immediate benefit that you can discover and run Spotless.

    ./gradlew spotlessCheck

This configuration uses `ratchetFrom = ""origin/main""` which only
enforces Spotless checks on files that are different from `origin/main`.
In a future step, we can remove this line and fix the Spotless checks
for each project. For example, Jetcaster has violations of:
`standard:filename`, `standard:property-naming`,
`standard:backing-property-naming`, `standard:package-name`. Instead of
suppressing or fixing all potential issues for all 6 projects now, we
can separate the configuration (right now) and fix each project
one-at-a-time (later).",codellama:7b,None,There are no code smells in this commit.
https://github.com/android/compose-samples.git,a209fe014f84add5d30141d20315afe859636526,"cleanup minor size issues
",codellama:7b,None,"The changes made in this commit do not appear to address any code smells from the categories you provided. The only change is a minor size issue, which does not seem to be related to any of the code smells you mentioned."
https://github.com/android/compose-samples.git,764a75f1c9ebfb531e01c7f0d6f9a65afbf6dd10,"[JetCaster] enable predictive back animations and add in pb NavHost animations (#1533)

Add predictive back animations (back-to-home) and in-app animations to
JetCaster



https://github.com/user-attachments/assets/3649450c-46a5-4c43-82f6-63ba9d4b4bbe",codellama:7b,None,"The changes made in this commit do not correspond to any code smells from the categories you provided. The commit message mentions enabling predictive back animations and adding in-app animations, but there are no obvious signs of code smells related to these features."
https://github.com/google/iosched.git,1ffc1a8c60ee2a3376e8882022d573d2e417c036,"refactor: Timber instead of Log
",codellama:7b,HighComplexityDebt,"The changes in the commit message and diff file suggest that the developer is refactoring the code to reduce technical debt and improve code structure. The removal of long methods, elimination of duplicate code, simplification of complex conditions, and improvement of variable names are all techniques used to address high complexity debt."
https://github.com/google/iosched.git,0383eea90dab2f5bc995835c39356dc7f17cc1bb,"Cleanup + rc01
",codellama:7b,HighComplexityDebt,"The changes in this commit appear to be related to refactoring the code to reduce technical debt and improve code structure, as evidenced by the removal of long methods, elimination of duplicate code, simplification of complex conditions, and improvement of variable names."
https://github.com/google/iosched.git,d556638f528333a489a18f9186859c5e6ff417a0,"refactor: benchmarks + add baseline profile generator
",codellama:7b,None,"The commit message only includes a refactoring of the benchmarks, without any changes to the code itself. The diff only shows changes in comments and whitespace, which do not affect the functionality of the code."
