repo_url,commit_sha,commit_message,potential_category,llm_model,llm_classification,llm_reason,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/AlmasB/FXGL.git,8baaeb8c70a93682958d3c5a06564bbef34b106a,"cleanup
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit refactors Trigger-related classes by removing redundant @JvmOverloads annotations and replacing default parameter values with explicit secondary constructors, improving Kotlin-Java interop and reducing constructor ambiguity. It also removes the Trigger interface in favor of direct data class implementations, simplifying the type hierarchy and eliminating unnecessary abstraction, which reduces technical debt and improves code structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/AlmasB/FXGL.git,aaafc756e070585cc003704392978230174797c2,"cleanup
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes an entire Kotlin class (FixtureDef) with 93 lines, including redundant documentation, duplicate property declarations (e.g., `var friction: Float = 0.2f` followed by a fluent `friction()` method), and excessive boilerplate. This aligns with HighComplexityDebt as it eliminates structural redundancy and simplifies the codebase, likely consolidating functionality into a more idiomatic Kotlin data class or DSL, reducing maintenance overhead.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/AlmasB/FXGL.git,2f653237dc7ff4e46734bd449ca03579e7ccc9bf,"cleanup
",HighComplexityDebt,qwen3-coder-next:latest,ConcurrencySmell,"The diff replaces a multi-line Javadoc comment with a concise inline comment explaining that heavy initialization is offloaded to a background thread via IOTask, while the FX thread regains control—indicating improved handling of thread context switching. Additionally, the addition of Async.shutdownNow() in the shutdown sequence ensures proper cleanup of background threads, addressing potential resource leaks or ungraceful termination of concurrent tasks. These changes directly improve concurrency hygiene by clarifying and enforcing correct thread usage and shutdown behavior.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/AlmasB/FXGL.git,7cf2766c1f98a231da738ef4521ca77ebe963302,"refactor
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes a test method (`Call a method reflectively throws if invalid params`) and adjusts imports in `ReflectionUtilsTest.kt`, indicating a refactoring to simplify test coverage and reduce dead code. The commented-out `@BeforeAll` block in `IOTaskTest.kt` suggests cleanup of unused or incomplete test setup, aligning with reducing technical debt and improving test structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/libre-tube/LibreTube.git,3647f1ed1cf094b30cddec1388253131fcecd0c7,"cleanup
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes an unnecessary SDK version check (Build.VERSION.SDK_INT >= Build.VERSION_CODES.M) that was redundant since activeNotifications is available from API 21+, and refactors duplicate code by replacing setSimpleItems with a direct use of setItems, eliminating a wrapper method and reducing indirection. These changes simplify control flow and remove redundant abstraction, aligning with HighComplexityDebt reduction.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/mihonapp/mihon.git,144418434bd08b36f68cadb82d43b2e2a7858420,"Library search for source
",SecurityVulnerability,qwen3-coder-next:latest,HighComplexityDebt,"The diff removes the dependency on SourceManager via Injekt.get() and eliminates a call to sourceManager.getOrStub() in the filter logic, reducing tight coupling and simplifying the LibraryItem class. This refactoring improves testability and reduces hidden dependencies, aligning with HighComplexityDebt by simplifying the class structure and removing unnecessary runtime dependencies for filtering.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/aniyomiorg/aniyomi.git,144418434bd08b36f68cadb82d43b2e2a7858420,"Library search for source
",SecurityVulnerability,qwen3-coder-next:latest,HighComplexityDebt,"The diff removes the dependency on SourceManager via Injekt.get() and eliminates a call to sourceManager.getOrStub() in the filter logic, reducing coupling and simplifying the LibraryItem class. This refactoring improves testability and reduces hidden dependencies, aligning with HighComplexityDebt by simplifying the class structure and removing unnecessary inter-class dependencies.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/libre-tube/LibreTube.git,9d469b16277d39522eee8630c30ec312ba99e907,"Simplify AudioHelper.
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit simplifies the AudioHelper class by removing the dependency on AudioManagerCompat (which required an extra import and static call), replacing it with direct Android SDK calls and conditional logic for API level checks. It also introduces a configurable stream parameter and lazy initialization of audioManager, reducing hardcoded assumptions and improving flexibility. These changes reduce technical debt by improving code structure, readability, and maintainability without altering runtime behavior.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer.git,6555dcfa6d15bb110cab52b20e65305dbf720dd3,"cleanup
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes unused imports, eliminates redundant variable assignments (settings, countryCode, languageLocale), and deletes dead code (country name display logic and corresponding test assertions). This simplifies the code, reduces coupling to unused dependencies (WiFiChannelCountry, languageLocale), and improves maintainability by removing obsolete functionality, aligning with refactoring to reduce technical debt and improve code structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/ankidroid/Anki-Android.git,8cfc39b8507d52dd80d31a28ace8f17c683f8ead,"lint: fix IDE Lint

Handle 'KotlinCleanup'
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit replaces @Suppress(""UnstableApiUsage"") with @KotlinCleanup(""IDE Lint"") and adjusts import statements (e.g., using wildcard imports like TestLintTask.*) to align with IDE linting rules, indicating a refactoring effort to improve code style consistency and reduce IDE warnings—classic signs of technical debt reduction in test code structure and readability.",,,,,,,,,,,,,,,,,,,,,,,
