repo_url,commit_sha,commit_message,llm_model,llm_classification,llm_reason
https://github.com/square/okhttp.git,85796896c3042935a98500e4d41b0f3ca49523e7,"Don't force a response body read on all trailers (#8904)

We only need to read the response body if its coming
from a real server.

Closes: https://github.com/square/okhttp/issues/8902

Co-authored-by: Jesse Wilson <jwilson@squareup.com>",deepseek-coder:6.7b,None,"This commit does not contain any code changes related to the identified categories of Code Smells. The commit message states that we only need to read the response body if its coming from a real server, which doesn't seem to be related to any known code smells."
https://github.com/square/okhttp.git,db836de3002f1c518d6f38a8c4f112c464cbcbc9,"Fix a liveness bug in MockWebServer (#8858)

* Fix a liveness bug in MockWebServer

It was possible to configure delays that would be honored
after MockWebServer was shut down. With this fix any
delay will be abandoned once the server is closed.

* Update mockwebserver/src/main/kotlin/mockwebserver3/internal/SleepNanos.kt

Co-authored-by: Jake Wharton <jw@squareup.com>

---------

Co-authored-by: Jesse Wilson <jwilson@squareup.com>
Co-authored-by: Jake Wharton <jw@squareup.com>",deepseek-coder:6.7b,None,"This commit does not seem to introduce any code smells based on the provided diff. The changes are related to fixing a liveness bug in MockWebServer and updating some Kotlin files, which do not appear to be part of common code smells such as energy or concurrency issues."
https://github.com/square/okhttp.git,71a759f77e7dc31939954b5eeb70065f29ee59ad,"Move gzip() from RequestBody to Request.Builder (#8838)

On Request.Builder the one function can add the header
and apply compression. Otherwise the caller needs to
keep those calls in sync.

One severe drawback of this approach is the calls to
Request.Builder are now ordered. If you call gzip()
before you call post(), it'll crash. Worse, if you
call post() and then gzip() and then post() again
with a different body, it'll silently not compress
the new body. I don't love this drawback but I think
the mitigations aren't worth the effort.",deepseek-coder:6.7b,HighComplexityDebt,"This commit introduces a new method 'gzip' to the RequestBody class. This change increases the complexity of the code base by adding an additional method, which could potentially lead to confusion and difficulty in understanding the existing codebase."
https://github.com/square/okhttp.git,7abfffb5d6b95c422b3eb0d17daa6a9ad482ba2d,"fix immutableListOf array (#8816)

* fix immutableListOf array

* singleton optimization

* Update -UtilJvm.kt",deepseek-coder:6.7b,EnergySmell,"The commit is related to optimizing the battery/CPU consumption by reducing unnecessary polling, blocking operations in the main thread, or inefficient coroutines. The changes include the removal of redundant 'when' checks and replacing them with direct function calls."
https://github.com/square/okhttp.git,599d0382292ee438182ef6135e921c487bee598a,"Promote TrailersSource to our public API (#8833)

Co-authored-by: Jesse Wilson <jwilson@squareup.com>",deepseek-coder:6.7b,EnergySmell,"The use of @ExperimentalOkHttpApi annotation suggests a potential energy optimization. The addition of the TrailersSource interface, which is expected to be used for asynchronous loading of trailers, could potentially reduce battery usage by reducing unnecessary blocking operations."
https://github.com/android/architecture-samples.git,d7ba290d1f33205d5890bb221ad1ac883ebd4c80,"Minor tidy ups (#935)

* Add suspend to upsertAll

* withContext only wraps mapping functions

* Remove main coroutine rule from TaskDaoTest

* Rename tasksRepository to taskRepository

* Replace MainCoroutineRule with testScope and testDispatcher

* Fix spotless

* All tests run with testScope.runTest

* Add mutex to TaskNetworkDataSource

* Fix spotless

* Recreate database before each test",deepseek-coder:6.7b,ConcurrencySmell,The use of 'withContext' in the TaskDaoTest class is causing unnecessary blocking on the main thread. This could lead to performance issues and a poor user experience.
https://github.com/android/architecture-samples.git,0c314163466ba9ab566af3f7dbf3b8dffd3e8f12,"Simplify the network data source (#915)

* Simplify the network data source API

* Move complex operations to Dispatchers.Default

* Change method names for saving and loading data from network

* Remove withContext from Room provided methods

* Move private functions below public overridden ones

* Update comments for methods which send data to/from network",deepseek-coder:6.7b,None,"This commit does not seem to introduce any code smells based on the provided diff. The changes are all related to improving network data source, moving operations to Dispatchers.Default, renaming methods for saving and loading data from network, removing withContext from Room provided methods, moving private functions below public overridden ones, and updating comments for methods which send data to/from network."
https://github.com/android/architecture-samples.git,42d65a668fafb4f6754c90e07c0dc2f58feeb388,"Refactor tests to use assertEquals (#913)

* Refactor tests to use assertEquals

* Remove Hamcrest",deepseek-coder:6.7b,HighComplexityDebt,"This commit refactors the tests to use assertEquals, which improves readability and maintainability. It also removes Hamcrest, a library used for more complex assertions, reducing complexity."
https://github.com/android/architecture-samples.git,f01fcad4193091f41352e8575d10f7718f61240e,"Add data models, refactor local and network data sources (#908)

* Adding TaskEntity (first pass)

* Add mapping function, rename TaskDataSource to NetworkDataSource

* Move Task creation inside TaskRepository

* More tidy ups, rename TaskEntity to LocalTask

* Mapping functions return expressions and use method references

* Fix spotless

* Rename mapping functions from 'asSomething' to 'toSomething'

* Fix spotless",deepseek-coder:6.7b,None,"This commit does not contain any code smells. It is a series of refactoring tasks, data model changes, and renaming for better understanding."
https://github.com/android/architecture-samples.git,17da41e50e9fc9e005abf3164eeef2cec05afea6,"Remove withContext, refactor duplicate methods (#907)

",deepseek-coder:6.7b,ConcurrencySmell,"This commit introduces the use of coroutines, which can lead to concurrency issues if not handled correctly. The methods completeTask(), activateTask() and getTaskWithId(id) are all potentially blocking operations that could cause race conditions or deadlocks if not properly synchronized."
